box_id,ok,inf_S,max_subdivision_depth,elapsed_seconds,lambda1_lower,lambda2_upper,mass_eigenvalue_lower,lambda3_lower,lambda3_gap_lower
5711,1,1.15202208983728411e+01,2,9.59039429200000086e+03,8.17736183936659522e+00,1.18381200386716330e+01,8.24011168604200095e-02,1.60000000000000000e+01,1.19559339836595768e+00
5751,1,1.33456668843233359e+01,2,9.74812918299999910e+03,8.54300030523110543e+00,1.12867960922583777e+01,1.05505040506721826e-01,1.60000000000000000e+01,1.19559339836595768e+00
5791,1,2.29492944453724874e+01,1,9.76168417000000045e+03,8.86482500012841257e+00,1.08661782559424154e+01,1.42889379032342112e-01,1.60000000000000000e+01,1.19559339836595768e+00
5831,1,9.27219902953302721e+00,1,9.78119790500000090e+03,8.33257665723270868e+00,1.16510472867617025e+01,8.66518350028063489e-02,1.60000000000000000e+01,1.19559339836595768e+00
5871,1,1.14275827794789109e+00,2,9.99893798699999934e+03,8.51120384759266990e+00,1.13308513515322851e+01,9.77679364825216890e-02,1.60000000000000000e+01,1.19559339836595768e+00
5911,1,4.64598116319190027e+01,0,1.00130395719999997e+04,9.19630988069585698e+00,1.03852860370021123e+01,1.43675712864455934e-01,1.60000000000000000e+01,1.19559339836595768e+00
5951,1,9.34095198726370413e+00,1,1.00582541750000000e+04,8.52378201351289633e+00,1.13742601445616316e+01,8.74002730690718321e-02,1.60000000000000000e+01,1.19559339836595768e+00
5991,1,6.40367082128292964e-01,2,1.01265454750000008e+04,8.49496884380373452e+00,1.13386563665596132e+01,9.08684271724723713e-02,1.60000000000000000e+01,1.19559339836595768e+00
6031,1,3.51900241512106220e+01,0,1.01403578209999996e+04,9.21591993403749754e+00,1.03611464634872519e+01,1.52622795465818084e-01,1.60000000000000000e+01,1.19559339836595768e+00
6071,1,1.64347311219245285e-01,2,1.02069263219999993e+04,8.49715280447880161e+00,1.13649543777925395e+01,7.84157458473361824e-02,1.60000000000000000e+01,1.19559339836595768e+00
6111,1,2.67086285410688760e+01,0,1.02217087840000004e+04,8.58361677648161780e+00,1.11936334157251682e+01,9.58611672490649602e-02,1.60000000000000000e+01,1.19559339836595768e+00
6151,1,3.07540757730855958e+01,0,1.02360629129999998e+04,9.21060593725822052e+00,1.03476043165881517e+01,1.52659789895007392e-01,1.60000000000000000e+01,1.19559339836595768e+00
6191,1,7.11127537872593862e+00,0,1.02505810469999997e+04,8.62700011080044149e+00,1.10929729425946206e+01,8.78616844500352268e-02,1.60000000000000000e+01,1.19559339836595768e+00
6231,1,2.32242388078323359e+01,1,1.02967830250000006e+04,8.53382162536854416e+00,1.12126178120289879e+01,9.92951673479143815e-02,1.60000000000000000e+01,1.19559339836595768e+00
6271,1,3.60469310908724196e+01,0,1.03109006150000005e+04,8.91779361062590148e+00,1.06927264591993207e+01,1.59595975786927163e-01,1.60000000000000000e+01,1.19559339836595768e+00
6311,1,2.27142300027750395e+01,1,1.03572935519999992e+04,8.50372258456048513e+00,1.12972742168774580e+01,8.94868238821374395e-02,1.60000000000000000e+01,1.19559339836595768e+00
6351,1,1.30673700569656148e+00,1,1.04035891929999998e+04,8.50221416855517553e+00,1.12531318273350802e+01,1.06113861793162428e-01,1.60000000000000000e+01,1.19559339836595768e+00
6391,1,5.44723507987520605e+00,1,1.04282225799999997e+04,8.56332412683772937e+00,1.11121530384583949e+01,1.50556785508829644e-01,1.60000000000000000e+01,1.19559339836595768e+00
