box_id,ok,inf_S,max_subdivision_depth,elapsed_seconds,lambda1_lower,lambda2_upper
1296,1,5.85887079732702887e+00,1,1.75778779800000007e+03,8.12807407366990375e+00,1.22585657034649582e+01
1344,1,7.48320072225169497e-01,1,1.79244318700000008e+03,7.83026377051456102e+00,1.26863752100026765e+01
1392,1,2.18323412611977403e+01,1,1.82701524300000005e+03,7.84047621795107208e+00,1.27451167522024651e+01
1440,1,8.50445409558339094e+00,1,1.90669668400000000e+03,8.14908954285047926e+00,1.21897065336903054e+01
1488,1,8.90556777787767118e+00,2,2.29991966800000000e+03,7.89003233881111843e+00,1.25193296942423036e+01
1536,1,2.18820029629802093e+01,1,2.33495791999999983e+03,7.90572733636952396e+00,1.25666540594173597e+01
1584,1,2.42977269439318633e+00,1,2.39369614799999999e+03,8.19197530649991279e+00,1.20931349095690326e+01
1632,1,5.96899934342388860e-01,1,2.42842601699999977e+03,7.97549930132096119e+00,1.23206722194509428e+01
1680,1,2.98209079519542257e+01,1,2.46308568999999989e+03,7.99009745533952565e+00,1.23627254712637313e+01
1728,1,1.65870366759599577e+01,1,2.52192895899999985e+03,8.25134311866525216e+00,1.19772383276543710e+01
1776,1,5.85630137173922805e+00,1,2.58074865600000021e+03,8.12808830595289677e+00,1.22585630167113067e+01
1824,1,3.71995919872367864e+00,0,2.59513734699999986e+03,8.00354911285914028e+00,1.24026693693163672e+01
1872,1,2.59756452932692028e+01,2,2.98670755000000008e+03,8.11373880832838168e+00,1.20419106193815750e+01
1920,1,3.27302929925547659e+00,1,3.06608131000000003e+03,8.05101173885167043e+00,1.23960868747281800e+01
1968,1,2.68865570363479272e+01,1,3.10092047899999989e+03,7.92054130657689726e+00,1.25787042043395552e+01
2016,1,1.72156699561142688e+01,2,3.49189645299999984e+03,8.04363295057210692e+00,1.21648494685460644e+01
2064,1,5.47829330947884330e-01,1,3.57127514100000008e+03,7.99059217318112758e+00,1.25275581761861687e+01
2112,1,2.60706206779326344e+01,1,3.60596767399999999e+03,7.84526529373518855e+00,1.27443390343673713e+01
2160,1,1.66936162118391280e+01,2,3.99653639900000007e+03,7.99492774367646319e+00,1.22624003784981461e+01
2208,1,3.09383481425115292e-01,1,4.03120532199999980e+03,7.79760055502716032e+00,1.28479700381045454e+01
2256,1,2.06352202916748695e+00,0,4.04550557299999991e+03,7.79663954456743458e+00,1.28698522786306455e+01
2304,1,5.81811818014756454e-01,1,4.08014682499999981e+03,7.97546529765752332e+00,1.23207100293177039e+01
